"MetricsSource","UserId","ApplicationName","ScriptName","ManualTestCaseExecutionEffort","DateOfExecution","StartTime","EndTime","ElapsedTime","PassCount","FailCount","TotalIterationExecuted","JIRA_TestKey","JIRA_ProjectName","ITTeam_Name","JIRA_Readiness"
"HIP_CMDM_Lighthouse ","AF83579","Healthy Innovations Platform.Nimbus","CMDM-30416","0:40:00","06/24/2019","06/24/2019T 14:41:47","06/24/2019T 14:42:33","0:0:46","1","0","1","","","CMDM Pirates","No"
"HIP_CMDM_Lighthouse ","AF83579","Healthy Innovations Platform.Nimbus","CMDM-30406","0:15:00","","","","","","","1","","","CMDM Pirates","No"
"HIP_CMDM_Lighthouse ","AF83579","Healthy Innovations Platform.Nimbus","CMDM-30412","0:05:00","","","","","","","1","","","CMDM Pirates","No"
"HIP_CMDM_Lighthouse ","AF83579","Healthy Innovations Platform.Nimbus","CMDM-30418","0:10:00","","","","","","","1","","","CMDM Pirates","No"
"HIP_CMDM_Lighthouse ","AF83579","Healthy Innovations Platform.Nimbus","CMDM-30419","0:50:00","","","","","","","1","","","CMDM Pirates","No"
"HIP_CMDM_Lighthouse ","AF61639","Healthy Innovations Platform.Nimbus","CMDM-30408","0:30:00","","","","","","","1","","","CMDM Pirates","No"
